,name,company,year,price,kms_driven,fuel_type
375,Honda City VX,Honda,8,775000.0,25000,Petrol
376,Honda City VX,Honda,5,875000.0,24259,Petrol
377,Maruti Suzuki Alto,Maruti,9,295000.0,30233,Petrol
378,Mahindra Thar LX,Mahindra,3,1750000.0,21000,Diesel
379,Maruti Suzuki Ertiga,Maruti,7,825000.0,51000,ecofriendly_fuel
380,Hyundai Grand i10,Hyundai,8,450000.0,23137,Petrol
381,Land Rover Discovery,Land,9,2600000.0,159070,Diesel
382,Maruti Suzuki Dzire,Maruti,6,645000.0,52328,Diesel
383,Maruti Suzuki Baleno,Maruti,7,666000.0,35849,Petrol
384,Hyundai Venue SX,Hyundai,4,1066000.0,24783,Petrol
385,Maruti Suzuki Ciaz,Maruti,8,500000.0,27346,Petrol
386,Hyundai i10 Magna,Hyundai,10,349000.0,75619,Petrol
387,Hyundai i10 Magna,Hyundai,11,245000.00000000003,54000,Petrol
388,Nissan Sunny XE,Nissan,12,295000.0,58000,Petrol
389,Jeep Wrangler Rubicon,Jeep,3,6500000.0,27340,Petrol
390,Maruti Suzuki Swift,Maruti,4,630000.0,17000,Petrol
391,Volkswagen Vento Highline,Volkswagen,6,790000.0,111139,Diesel
392,Hyundai Elantra 1.6,Hyundai,6,1875000.0,40916,Diesel
393,Honda WR-V VX,Honda,6,950000.0,120463,Diesel
394,Honda BR-V VX,Honda,7,799000.0,94197,Diesel
